event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,latitude,longitude
792335,We are Family,08/03/2024 12:00:00 PM,08/03/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   84 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Full,Full Street Closure,"7,","20,",40.784,-73.9729
789926,Farm Festival,10/19/2024 11:00:00 AM,10/19/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   85 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,Full,Full Street Closure,"7,","20,",40.7881286,-73.9781814
810871,Hallowneen Party,11/11/2024 05:00:00 PM,11/11/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   87 STREET between WEST END AVENUE and RIVERSIDE DRIVE,Full,Full Street Closure,"7,","24,",40.7874554,-73.9723666
799897,PS 166 Falloween,10/19/2024 11:00:00 AM,10/19/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   89 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Full,Full Street Closure,"7,","24,",40.7894857,-73.9732987
792334,Wise Towers Family Day,08/10/2024 12:00:00 PM,08/10/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   90 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Full,Full Street Closure,"7,","24,",40.7876,-73.9682
807260,Halloween Event on west 90th Street,10/31/2024 05:00:00 PM,10/31/2024 07:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   90 STREET between COLUMBUS AVENUE and CENTRAL PARK WEST,Full,Full Street Closure,"7,","24,",40.7876,-73.9682
770293,WSMS Fall Festival,10/19/2024 11:00:00 AM,10/19/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   92 STREET between WEST END AVENUE and RIVERSIDE DRIVE,Full,Full Street Closure,"7,","24,",40.7905933,-73.9700636
805221,West 95th Street 2024 Halloween Party,10/31/2024 05:30:00 PM,10/31/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST   95 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,Full,Full Street Closure,"7,","24,",40.7943101,-73.9730521
801847,St. Michaels Block Party,09/29/2024 11:00:00 AM,09/29/2024 01:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST   99 STREET between AMSTERDAM AVENUE and BROADWAY,Full,Full Street Closure,"7,","24,",40.7969394,-73.9711978
780457,Paws for a Cause,09/07/2024 10:00:00 AM,09/07/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  100 STREET between MANHATTAN AVENUE and CENTRAL PARK WEST,Full,Full Street Closure,"7,","24,",40.793,-73.961
804527,Barking Day 2024,09/28/2024 11:00:00 AM,09/28/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  103 STREET between BROADWAY and WEST END AVENUE,Full,Full Street Closure,"7,","24,",40.7946,-73.9587
786348,West 104th St Garden Community Garden Block Party,10/19/2024 09:00:00 AM,10/19/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  104 STREET between CENTRAL PARK WEST and MANHATTAN AVENUE,Full,Full Street Closure,"7,","24,",40.7929341,-73.9681665
799313,Back to School Worship Service and Giveaway,09/01/2024 12:00:00 PM,09/01/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  104 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,Full,Full Street Closure,"7,","24,",40.7929341,-73.9681665
770657,A Family Day With Neighbors,08/24/2024 11:00:00 AM,08/24/2024 05:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  107 STREET between CENTRAL PARK WEST and MANHATTAN AVENUE,Full,Full Street Closure,"7,","24,",40.7968,-73.9557
797726,Rock The Block 2024,10/19/2024 12:00:00 PM,10/19/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  111 STREET between BROADWAY and AMSTERDAM AVENUE,Full,Full Street Closure,"9,","26,",40.7989,-73.9529
786520,Fall Fair,10/20/2024 10:00:00 AM,10/20/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  112 STREET between BROADWAY and RIVERSIDE DRIVE,Full,Full Street Closure,"9,","26,",40.7996,-73.9521
786699,Tylik Allen way,08/02/2024 12:00:00 PM,08/02/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  112 STREET between MALCOLM X BOULEVARD and 5 AVENUE,Full,Full Street Closure,"10,","28,",40.7996,-73.9521
