route_id,route_short_name,route_long_name,serves_campuses,is_ace_enforced
SIM3C,SIM3C,Pt. Richmond - Manhattan Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM4,SIM4,Eltingville - Lower Manhattan Express,"['Borough of Manhattan Community College', 'College of Staten Island']",False
SIM4C,SIM4C,Huguenot - Manhattan Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM6,SIM6,Eltingville - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'The Graduate School and University Center', 'Baruch College']",False
SIM7,SIM7,Eltingville - Greenwich Village Express,['Borough of Manhattan Community College'],False
SIM8,SIM8,Huguenot - Midtown Manhattan Express,"['Guttman Community College', 'School of Labor and Urban Studies', 'School of Journalism']",False
SIM9,SIM9, Eltingville - Greenwich Village Express,['Borough of Manhattan Community College'],False
X27,X27,Bay Ridge - Manhattan Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
X28,X28,Sea Gate / Bensonhurst - Manhattan Express,"['Borough of Manhattan Community College', 'Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
X37,X37,Bay Ridge - Midtown Manhattan Express,"['Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
X38,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express,"['Guttman Community College', 'The Graduate School and University Center', 'Baruch College']",False
